KEYBOARD,,תדלקמ,,
ENABLE_SLIDER,,רדיילס רשפא,,
DISABLE_SLIDER,,רדיילס הבכ,,
ALERTS,,תוארתה,,
SPECTRUM_ANALYSER,,םורטקפס,,
BATTERY,,הללוס,,
CHECKLIST_WARNING,,טסיל ק'צ תרהזא,,
RADIO_IS_IN_SILENT_MODE,,טקש דומב וידרה,,
RADIO_BATTERY_IS_LOW,,הכומנ רדשמ תללוס,,
THROTTLE_IS_NOT_IDLE,,קרסב אל תרעצמ,,
ARE_NOT_IN_SAFE_POSITION,,םיקספמ בצמ אדוו .םי/ליעפ,,
IS_NOT_IN_SAFE_POSITION,,םיקספמ בצמ אדוו .םי/ליעפ,,
FUNCTION_SWITCHES_ARE_NOT_IN_SAFE_POSITION,,חוטב בצמב אל םילנויצקנופ םיקספמ,,
FAILSAFE_IS_NOT_SET,,רדגומ אל ףייסלייפ,,
RTC_BATTERY_IS_LOW,,הכומנ יוביג תללוס,,
ALWAYS_ON,,קלוד דימת,,
ALWAYS_OFF,,יובכ דימת,,
YES,,ןכ,,
DIGITAL_RSSI,,ילטיגיד RSSI,,
GYRO,,ורי'ג,,
GYRO_SWITCHES,,ורי'ג יקספמ,,
LANGUAGE,,הפש,,
THEME,, אשונ תכרע,,
LIGHT,,"Light"
DARK,,"Dark"
SWITCHES,,םיגתמ,,
TOP_TOOLBAR,,ןוילע םילכ לגרס,,
NO,,אל,,
BRIGHTNESS,,תוריהב,,
KEYS,,םינצחל,,
WAKE_UP,,תוררועתה,,
DIGITAL_VOLTAGE,,תילטיגיד הגוצת,,
SLEEP,,הניש,,
SYSTEM_ALERTS,,תכרעמ תוארתה,,
INACTIVITY,,תוליעפ רסוח,,
AUTO_ADJUST_FROM_GPS,,GPS יפל יטמוטוא ןוויכ,,
DATE,,ךיראת,,
ADJUST_RTC_SPEED,,RTC תוריהמ ןווכ,,
SHOW_SECONDS,,תוינש גצה,,
IS24HOUR,,תועש 24 ןועש,,
TIME_ZONE,,ןמז רוזא,,
YEAR,,הנש,,
MONTH,,שדוח,,
TIME,,ןועש,,
NEXT,,אבה,,
GYRO_CALIBRATION,,וריג לויכ,,
PREV,,םדוק,,
MDL_LONG,,ךורא MDL,,
HARDWARE_CHECK,,הרמוח תקידב,,
SWITCHES_SETTINGS,,םיגתמ תורדגה,,
ADC_INSPECTOR,,ADC יכרע תגוצת,,
SYS_LONG,,ךורא SYS,,
HOME_KEYMAP,,תיב ינצחל יופימ,,
POTS_SLIDERS_SETTINGS,,םירדיילס/טופ תורדגה,,
SWITCH_MIDDLE_DETECT_DELAY,,םיקספמ זכרמ תייהשה,,
DISP_SHORT,,רצק {DISP_LABEL},,
DISP_LONG,,ךורא {DISP_LABEL},,
SWITCH,,קספמ,,
THROTTLE_DEAD_BAND,,תרעצמב תמ חווט,,
ANALOGS_FILTER,,יגולנא ןנסמ,,
ANALOGS_CALIBRATION,,יגולנא לויכ,,
CONFIRM_CONTINUE,,? ךישמהל ךנוצרבש חוטב התא םאה,,
THR_NOT_LOW_WARNING,,! םומינימב אל תרעצמה,,
CHANNELS_ORDER,,םיצורע רדס,,
STICKS_MODE,,םיקיטס דומ,,
STICKS_MODE_1,,דומ םיקיטס 1,,
STICKS_MODE_2,,דומ םיקיטס 2,,
STICKS_MODE_3,,דומ םיקיטס 3,,
STICKS_MODE_4,,דומ םיקיטס 4,,
FIRST_FOUR_CHANNELS_FIXED,,םיעובק םינושאר םיצורע תעברא,,
NO_SD_CARD,,ןורכז סיטרכ ןיא,,
FLASH_BOOTLOADER,,רדאולטוב בורצ,,
FLASH_INTERNAL_MODULE,,ימינפ לודומ בורצ,,
PLAY,,ןגנ,,
CURRENT_VERSION,,תיחכונ הסרג,,
FLASH_RECEIVER_BY_INTERNAL_MODULE_OTA,,טוחלאב טלקמ בורצ,,
FLASH_RECEIVER_BY_EXTERNAL_MODULE_OTA,,טוחלאב טלקמ בורצ,,
OTA_UPDATE,,יטוחלא ןוכדע,,
FLASH_EXTERNAL_DEVICE,,ינוציח רישכמ בורצ,,
OPEN,,חתפ,,
FLASH_EXTERNAL_MODULE,,ינוציח לודומ בורצ,,
FLASH_EXTERNAL_MULTIMODULE,,ינוציח רישכמ בורצ,,
MOVE_HERE,,ןאכל זזה,,
OTA_UPDATE_ERROR,,תיטוחלא הבירצב האיגש,,
UNSUPPORTED_RX,,ךמתנ אל טלקמ,,
MAIN_VOLTAGE,,ישאר חתמ,,
DISPLAY_VOLTAGE_RANGE,,הגוצתל םיחתמ חווט,,
LOW_VOLTAGE,,ךומנ חתמ,,
RTC_VOLTAGE,,יוביג תללוס חתמ,,
UNKNOWN,,עודי אל,,
FIRMWARE,,החשוק,,
VIDEO_HARDWARE_VERSION,,ואדיו תחשוק תסרג,,
RECEIVER,,טלקמ,,
NON_STABILIZED_RECEIVER,,בצוימ אל טלקמ,,
VARIO,,וירו,,
MAIN_VOLUME,,תישאר עמש תמצוע,,
AUDIO_VOLUME,,המצוע,,
PITCH_AT_ZERO,,ספאב 'ץטיפ,,
SEQUENCE,,תולועפ ףצר,,
PITCH_AT_MAX,,םומיסקמב 'ץטיפ,,
REPEAT_AT_ZERO,,רוזח,,
PLANE,,ןסיט,,
GLIDER,,ןואד,,
HELI,,קוסמ,,
MULTI,,ןפחר,,
CAR,,תינוכמ,,
BOAT,,הריס,,
OTHER,,רחא,,
CALIBRATION,,לויכ,,
INPUTS,,םיטופניא,,
UPDATE,,ןוכדע,,
