String name, String context, X20(...) / XE(S) / V20, X18RS / X14(...) / T14 / V15, All other radios
BLUETOOTH_MAINTENANCE,,"Bluetooth maintenance"
CONNECT_LAST_DEVICE,,"Son cihaza bağlan"
DEVICE,,"Cihaz"
NO_BLUETOOTH_DEVICE_FOUND,,"Bluetooth cihazı bulunamadı!"
SPEAKER_MUTE,,"Hoparlör sessizde"
DISCONNECT,,"Bağlantıyı kes"
WAITING_FOR_DEVICE,,"Cihaz bekleniyor"
DIST_ADDRESS,,"Uzak adres"
CONNECTING,,"Bağlanıyor"
ROTARY_ENCODER_HALF_STEPS,,"Rotary encoder yarım adım"
BLUETOOTH_AUDIO,,"Bluetooth Ses"
NOT_INSTALLED,,"Yüklü değil (varsayılan)"
INSTALLED_AS_AN_OPTION,,"Seçenek olarak yüklü"
RESET_MODULE,,"Modülü resetle"
HIGH_SPEED,,"Yüksek hız"
NORMAL_SPEED,,"Normal hız"
MODEL,,"Model"
STEERING,,"Steering"
DUTY_RATIO,,"Duty ratio"
CYCLE_DURATION,,"Cycle duration"
RETURN_POSITION,,"Return position"
STEERING_BRAKE,,"Steering brake"
CHECKLIST,,"Kontrol listesi"
FILE_MANAGER,,"Dosya yöneticisi"
SOUND,,"Ses & Titreşim"
STICKS,,"Stickler"
DATE_TIME,,"Tarih & Saat"
HARDWARE,,"Donanım"
INFO,,"Bilgi"
SERIAL_NUMBER,,"Seri numarası"
RESET_FACTORY_SETTINGS,,"Fabrika ayarlarına sıfırla"
CONFIRM_RESET_FACTORY_SETTINGS,,"Fabrika ayarlarına sıfırlansın mı?"
SYSTEM,,"Sistem"
DISPLAY,,"Ekran"
KEYBOARD,,"Klavye"
ENABLE_SLIDER,,"Kaydırıcıyı etkinleştir"
DISABLE_SLIDER,,"Kaydırıcıyı devre dışı bırak"
ALERTS,,"Uyarılar"
SPECTRUM_ANALYSER,,"Spektrum"
BATTERY,,"Batarya"
CHECKLIST_WARNING,,"Kontrol listesi uyarısı"
RADIO_IS_IN_SILENT_MODE,,"Radyo sessiz modda"
RADIO_BATTERY_IS_LOW,,"Radyo bataryası düşük"
THROTTLE_IS_NOT_IDLE,,"Gaz rölantide değil"
ARE_NOT_IN_SAFE_POSITION,," güvenli konumda değiller"
IS_NOT_IN_SAFE_POSITION,," güvenli konumda değil"
