Clef, Contexte, X20(...) / XE(S) / V20, X14(...) / T14 / V15, Autres radios,
SENSOR_LOST_WARNING_DELAY,,"Alerte capteur perdu",
WARNING_DISABLED,,"Pas d'alerte",
RANGE,,"Plage",
SPACE_WITH_SAMPLES,," échantil.",
RESET,,"Réinitialiser","Réinit.",
TELEMETRY_SENSOR,,"Capteur télémétrie",
UNIT,,"Unité",
WRITE_LOGS,,"Enreg. données",
ID,,"ID",
CONFIRM_LOAD_ALL_SWITCH_POSITIONS,,"Confirmer position des inters pour la checklist ?",
CHECK_FUNCTION,,"Checklist",
LOAD_ALL_SWITCH_POSITIONS,,"Capture positions inters",
CONFIRM_LOAD_ALL_POT_POSITIONS,,"Confirmer position des pots pour la checklist ?",
LOAD_ALL_POT_POSITIONS,,"Capturer positions pot.",
TRIGGER_ON_CONDITION,,"Condition pour ON",
COMMENT,,"Commentaire",
FUNCTION,,"Fonction",
VALUES,,"Valeurs",
ADD_A_NEW_VALUE,,"Ajouter valeur",
ACTIONS,,"Actions",
ADD_A_NEW_ACTION,,"Ajouter action",
ADD_A_NEW_LOGIC_SWITCH,,"Ajouter inter logique",
ADD_A_NEW_VAR,,"+ Add a new var"
DURATION_HIGH,,"Durée activité",
RISING_EDGE,,"Chang. état",
DURING,,"Pendant",
VALUE1,,"Valeur 1",
VALUE_X,,"Valeur (X)",
CHECK_INTERVAL,,"Fréq. vérification",
ACTIVE_CONDITION,,"Condition",
MIN_DURATION,,"Durée mini",
MAX_DURATION,,"Durée maxi",
DURATION_LOW,,"Durée inactivité",
VALUE2,,"Valeur 2",
DELAY_BEFORE_ACTIVE,,"Délai avant ON",
DURATION,,"Durée",
SOURCE_A,,"Source (A)",
TRIGGER_OFF_CONDITION,,"Condition pour OFF",
DELAY_BEFORE_INACTIVE,,"Délai avant OFF",
DELAY_ON_OFF,,"Délai avant ON / OFF",
SOURCE,,"Source",
LOGIC_SWITCH_RANGE,,"Intervalle",
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_LOGIC_SWITCH,,"Supprimer inter logique ?",
NO_LOGIC_SWITCH_YET_PRESS_ADD_TO_CREATE_ONE,,"Aucun inter logique. Appuyer sur '+' pour en créer un !",
ENABLE,,"ON",
NO_FUNCTION_YET_PRESS_ADD_TO_CREATE_ONE,,"Aucune fonction. Appuyer sur '+' pour en créer une !",
NO_TRAINER_YET_PRESS_ADD_TO_CREATE_ONE,,"Aucun mode d'écolage. Appuyer sur '+' pour en créer un !"
SF,,"SF",
DISABLE,,"OFF",
ARE_YOU_SURE_YOU_WANT_TO_DELETE_THIS_SPECIAL_FUNCTION,,"Supprimer fonction ?",
ACTION,,"Action",
PLAY_SEQUENCE,,"Lire audio",
WAIT_DURATION,,"Pause",
WAIT_CONDITION,,"Condition",
CONFIRM_DELETE_LINE,,"Supprimer ligne ?",
ADD_A_NEW_LINE_IN_SEQUENCE,,"Ajouter ligne",
PLAY_TEXT,,"Lire texte",
GO_TO_SCREEN,,"Ouvrir écran",
LOCK_TOUCHSCREEN,,"Verrouillage écran",
SCREENSHOT,,"Capture écran",
PLAY_VALUE,,"Lire valeur",
PLAY_VARIO,,"Lire vario",
PLAY_LED,,"Play LED"
LED_CONSTANT,,"Constant"
LED_BLINK,,"Blink"
SPACE_WITH_OTHERS,," Autres ...",
CONFIRM_DELETE_CURVE,,"Supprimer courbe ?",
CURVE_USED_BY,,"Courbe utilisée :",
AND_WITH_TWO_SPACES,," et ",
NO_CURVE_YET_PRESS_ADD_TO_CREATE_ONE,,"Aucune courbe. Appuyer sur '+' pour en créer une !",
EXPO,,"Expo",
UNIT_POINTS_COUNT,," points",
WEIGHT,,"Course",
POINTS,,"Points",
OFFSET,,"Décalage",
AUTO_OFFSET,,"Décalage automatique",
OFFSET_WHEN_ACTIVE,,"Décalage qd ligne activée",
OFFSET_WHEN_INACTIVE,,"Décalage qd ligne désactivée",
SMOOTH,,"Lisser",
POINT,,"Point",
POINTS_COUNT,,"Nb. points",
EASY_MODE,,"Mode simple",
TRAINER_MODE,,"Mode écolage",
CHANNEL_RANGE,,"Voies",
CH,,"V",
SLAVE_CH,,"Voie élève",
